id,title,original_title,year,poster_title_guess_pro,reason_pro,poster_title_guess_sonnet,reason_sonnet,ocr_chars,overlap_max,imdb_id,poster_path
549703,Girls Just Wanna Have Blood,Girls Just Wanna Have Blood,2020,Teenage Bloodsuckin' Bimbos,"The poster clearly displays a different title, 'Teenage Bloodsuckin' Bimbos', which does not match the catalog film 'Girls Just Wanna Have Blood'.",Teenage Bloodsuckin' Bimbos,Poster clearly displays title 'Teenage Bloodsuckin' Bimbos' which does not match catalog film 'Girls Just Wanna Have Blood'.,545,0.0,tt5904064,/2k0XzSVlT4MF3HnuMS85LNCWKsU.jpg
559928,Heaven's War,Heaven's War,2018,Beyond the Darkness,"The poster clearly displays the title 'Beyond the Darkness', which does not match the catalog film 'Heaven's War'.",Beyond the Darkness,Poster clearly displays title 'BEYOND THE DARKNESS' which does not match catalog entry 'Heaven's War'.,246,0.0,tt1885325,/wEKHTGJ5Vc8fKPQXQSOd8egLt0w.jpg
560038,The Occultist 2: Demons,The Occultist 2: Demons,2018,Bloody Nun,"The poster clearly shows a different title, 'Bloody Nun', which does not match 'The Occultist 2: Demons'.",Bloody Nun,Poster clearly displays title 'Bloody Nun' which does not match catalog entry 'The Occultist 2: Demons'.,28,0.0,tt8245498,/nvUUpeR44SeBmlHURKaKziwf1BC.jpg
561466,Veendum Lisa,വീണ്ടും ലിസ,1987,Bhayaanak Mahal,"The poster clearly shows the title 'Bhayaanak Mahal', which does not match the catalog film 'Veendum Lisa'.",BHAYAANAK MAHA,"Poster clearly shows 'BHAYAANAK MAHA' title in Hindi/Devanagari script, not matching the Malayalam film 'Veendum Lisa' from 1987.",31,0.0,tt0352969,/zbQxMuDTRGAa9ZSMMXAx0jJA6ot.jpg
564394,Crypto (Animated Short),Crypto (Animated Short),2018,Crypto,"The poster is for a different film, a thriller/drama, not an animated short.",CRYPTO,"This is a live-action thriller poster with real actors, not an animated short from 2018.",425,0.3333,tt9230194,/lRdBbwJu6LY5FXP9RdvcNaYyvUU.jpg
567331,The Killing House,The Killing House,2018,Reincarnation,"The poster clearly shows the title 'Reincarnation', which does not match 'The Killing House'.",Reincarnation,Poster clearly displays the title 'Reincarnation' which does not match 'The Killing House'.,254,0.0,tt8597286,/3nYNWeluTlZ7MER9LSdxbYH0Kts.jpg
573966,The Mysterious Uncle Silas,El misterioso tío Silas,1947,Tela de Arana,The poster clearly shows a different title 'Tela de Arana' which does not match 'The Mysterious Uncle Silas'.,Tela de Araña,Poster clearly shows title 'Tela de Araña' (Spider's Web) which does not match 'El misterioso tío Silas'.,98,0.0,tt0121559,/eZUIGvYJElZbbQ8JSUFbBENocws.jpg
583525,65th,65th,2019,Slender Killer,"The poster clearly shows the title 'Slender Killer', which does not match the catalog film '65th'.",SLENDER KILLER,Poster clearly shows title 'SLENDER KILLER' which does not match catalog entry '65th'.,45,0.0,tt7234202,/f30saP9z5ZVJOYfiPV94iB37egS.jpg
595951,Scare BNB,Scare BNB,2019,Fatal Getaway,"The poster clearly shows the title 'Fatal Getaway', which does not match the catalog film 'Scare BNB'.",FATAL GETAWAY,Poster clearly shows title 'FATAL GETAWAY' which does not match catalog entry 'Scare BNB'.,247,0.0,tt9364210,/1b03sF8mTobgMog1oJkXF8j1gBg.jpg
601369,The Way She Used to Be,The Way She Used to Be,2018,NOSTALGIA,"The poster clearly shows the title 'NOSTALGIA', which does not match the catalog film 'The Way She Used to Be'.",NOSTALGIA,Poster clearly displays the title 'NOSTALGIA' which does not match the catalog film 'The Way She Used to Be'.,77,0.0,tt10160758,/x4v3mPNgDDI3RZaL1eR5bdSVG1U.jpg
609616,American Freakshow,American Freakshow,2015,Bloody Scum,"The poster clearly shows the title 'Bloody Scum', which does not match the catalog film 'American Freakshow'.",BLOODY SCUM,Poster clearly shows title 'BLOODY SCUM' which does not match catalog entry 'American Freakshow'.,71,0.0,tt5206834,/aBQNzx4jr9PraOtglaGR1r8r643.jpg
609627,A Few Screws Loose,A Few Screws Loose,2008,Beaten to a Pulp,"The poster clearly displays the title 'Beaten to a Pulp', which does not match the catalog film 'A Few Screws Loose'.",Beaten to a Pulp,Poster clearly shows title 'Beaten to a Pulp' which does not match catalog entry 'A Few Screws Loose'.,47,0.0,tt1320090,/kdgWhdrf1LKyGf0QltoI4IrE1ZJ.jpg
618128,Scavenger Hunt,Scavenger Hunt,,Dentro,"The poster clearly displays the title 'Dentro', which does not match the catalog film 'Scavenger Hunt'.",DENTRO,"Poster clearly shows title 'DENTRO' directed by Mariana Stolze, not 'Scavenger Hunt'.",272,0.0,,/fCoG2xrGz4KdxeINmKptoH2CPfJ.jpg
638544,The Vault,The Vault,2015,XOOPD,The title on the poster does not match 'The Vault' and the imagery does not suggest a connection to the catalog film.,ХАЯРО,"Poster shows Cyrillic title 'ХАЯРО' and appears to be a Mongolian/Russian language film, but catalog entry is for 'The Vault' (2015) with original language 'mn' and OCR hint suggests Sinhala language, creating clear inconsistency.",192,0.0,tt8255450,/5T1H07gcu8o1SOwMpjD3HBOTWfo.jpg
651273,The Pulley by Steven Kwang,The Pulley by Steven Kwang,2016,"title text visible on poster, or empty",The poster does not contain any English text or recognizable branding that matches the catalog film entry.,도르래 (Doreurae),"Poster shows Korean text and appears to be for a Korean romantic thriller, not matching the 2016 English-language film 'The Pulley by Steven Kwang'.",290,0.2,,/axzbceDYHR2Yf4Ffhna5h1bnJRt.jpg
651448,Darkslide,Darkslide,2016,Road to Red,"The poster clearly shows the title 'Road to Red', which does not match the catalog film 'Darkslide'.",ROAD TO RED,"Poster clearly shows title 'ROAD TO RED' with tagline 'SKATE OR DIE', not 'Darkslide'.",304,0.0,tt0926132,/tBrm4WCJu2Pybdw63qi2hoQtBSl.jpg
657343,The Evil Inside Me,The Evil Inside Me,1993,Fatally Yours,"The poster clearly shows a different title, 'Fatally Yours', which does not match 'The Evil Inside Me'.",Fatally Yours,Poster clearly shows the title 'Fatally Yours' which does not match 'The Evil Inside Me'.,35,0.0,tt0113039,/l3brxESYVpBM0i8QbvmkrDwwX6J.jpg
663240,America the Violent,America the Violent,1996,Facez of Death 2000,"Poster clearly advertises 'Facez of Death 2000', not 'America the Violent'.",Faces of Death 2000,"Poster clearly shows 'Faces of Death 2000' title and Brain Damage Films branding, not 'America the Violent' from 1996.",82,0.3333,tt0421595,/sYwCpwKIlMPIZsUoCuQXH5yOgsn.jpg
664168,Fat Ass Zombies,Fat Ass Zombies,2020,American Zombieland,"The poster clearly shows a different title, 'American Zombieland', which does not match 'Fat Ass Zombies'.",American Zombieland,"Poster clearly displays 'AMERICAN ZOMBIELAND' title, not 'Fat Ass Zombies'.",37,0.0,tt2989692,/d2UCD7xwWFKucozkKcKBiCayJC6.jpg
678697,Ghosts Who Love Too Much,Los fantasmas que aman demasiado,1987,MAS ALLA DE LA MUERTE,Poster title does not match catalog film title.,Mas Alla De La Muerte,Poster clearly shows title 'MAS ALLA DE LA MUERTE' which does not match catalog title 'Los fantasmas que aman demasiado'.,66,0.0,tt0212147,/kh869R9LSbjqeMTnNyeMlprJjtz.jpg
682779,They Are Here: The Real World of the Poltergeists,They Are Here: The Real World of the Poltergeists,2007,Science of the Spirits,"The poster clearly shows a different title, 'Science of the Spirits', which does not match the catalog film title.",SCIENCE OF THE SPIRITS: COMMUNING WITH THE DEAD,Poster clearly shows different title 'Science of the Spirits: Communing with the Dead' which does not match catalog entry 'They Are Here: The Real World of the Poltergeists'.,46,0.25,tt2756124,/u1pj7A4GRMfWbdbkKYJNkjUKe8c.jpg
705912,Bottled Vulva: High School Girl Yuriko,瓶詰女陰～女子高生・ゆり子～,1998,,The image does not contain any recognizable elements or text that would associate it with the film 'Bottled Vulva: High School Girl Yuriko'.,ECCENTRIC PSYCHO CINEMA COLLECTION,"Poster shows 'ECCENTRIC PSYCHO CINEMA COLLECTION' with episode codes EPC-001 through EPC-007, not matching the 1998 Japanese film title or branding.",90,0.0,tt1059978,/Ajqd6HJZGAuRCI8dX7quXgg4e8n.jpg
707860,Destino (Florida),Destino (Florida),2020,50 States of Fright,"The poster clearly displays the title '50 States of Fright', which does not match the catalog film 'Destino (Florida)'.",50 States of Fright,"Poster clearly shows '50 States of Fright' by Sam Raimi, not 'Destino (Florida)' from 2020.",43,0.0,,/yfsIjHJuQgB8qU7EZ56VdY3KUk7.jpg
708706,Feed Your Head! Lose Your Head!,Feed Your Head! Lose Your Head!,2020,Dracula vs. Frankenstein,The poster clearly depicts a different film with a different title.,Dracula vs. Frankenstein,"Poster clearly shows 'Dracula vs. Frankenstein' with classic horror actors from a vintage film, not the 2020 title 'Feed Your Head! Lose Your Head!'",349,0.0,,/3OQ7PgAkum1AxqZfLjjhbvSVDas.jpg
709903,Kinder der Nacht 2,Kinder der Nacht 2,2002,On the Edge of Forever,The poster clearly shows a different title and imagery unrelated to 'Kinder der Nacht 2'.,ON THE EDGE OF FOREVER A NIGHTCHILD PRODUCTION,"Poster clearly shows English title 'On the Edge of Forever' and 'A Nightchild Production', not matching the German film 'Kinder der Nacht 2' from 2002.",46,0.0,,
719829,Dark:30,Dark:30,1993,ANOITECER SANGRIENTO,"The poster is for a different film titled 'ANOITECER SANGRIENTO', not 'Dark:30'.",ANOITECER SANGRENTO,"Poster clearly shows Portuguese title 'ANOITECER SANGRENTO' and credits Hellraiser producers, not matching the English title 'Dark:30' from 1993.",127,0.0,tt0106667,/3Ojqjn3moQPKbqwXMyTAPS5tmxB.jpg
721952,Homecoming Massacre,Homecoming Massacre,2020,Night of the Wicked Clown,"The poster clearly displays the title 'Night of the Wicked Clown', which does not match the catalog film 'Homecoming Massacre'.",Night of the Wicked Clown,Poster clearly displays title 'Night of the Wicked Clown' which does not match catalog entry 'Homecoming Massacre'.,349,0.0,tt11890910,/wkXu5COdeiBHN7LhYC8aQVeZ0qM.jpg
724492,Blood Tales,Blood Tales,2020,BOX HORROR,"The poster clearly shows 'BOX HORROR', which does not match the catalog film 'Blood Tales'.",Horror Box,"Poster clearly shows 'Horror Box' title and appears to be a multi-feature collection, not the single film 'Blood Tales' from 2020.",116,0.0,tt7744940,/caendMq5RpkoxJ81jNhGPogz7bd.jpg
725842,Старуха 2,Старуха 2,,THE CRONE,"The poster clearly shows 'THE CRONE', which does not match the catalog film entry 'Старуха 2'.",THE CRONE,Poster clearly shows English title 'THE CRONE' while catalog entry is for Russian film 'Старуха 2'.,134,0.0,,/aFUssdPtU1BNWammo8bf1RSUBr9.jpg
726741,The Tree Bark Romance,The Tree Bark Romance,2020,IL ROMANTICISMO DELLA CORTECCIAIA,Poster title is in Italian and does not match the English title of the catalog film.,IL ROMANTICISMO DELLA CORTECCIA DEGLI ALBERI,"The Italian text translates to 'The Romanticism of the Tree Bark' but credits directors Jacob Forman and T. Haffis, which don't match the catalog entry for The Tree Bark Romance (2020).",127,0.25,,/xAjxlou0qVl0PvwfUBLLXmiCoBc.jpg
729722,Afterward,Afterward,1983,Shades of Darkness,"The poster clearly displays the title 'Shades of Darkness', which does not match the catalog film 'Afterward'.",Shades of Darkness,"Poster clearly shows title 'Shades of Darkness' and credits multiple authors for anthology tales, not matching the 1983 film 'Afterward'.",141,0.0,,/2NbFGccdKdhxaO97hKTegMt02yg.jpg
730407,Bohemian Moon,Bohemian Moon,,Savage Lagoon,"The poster clearly shows the title 'Savage Lagoon', which does not match the catalog film 'Bohemian Moon'.",Savage Lagoon,Poster clearly shows title 'Savage Lagoon' which does not match catalog entry 'Bohemian Moon'.,343,0.0,,/tD3lKQ9lk17uON5WS2hDYuo2ijl.jpg
731799,The Kiss of Death: Creepy Tales,El beso de la muerte: historias espeluznantes,1991,Muertes Anunciadas,Poster title 'Muertes Anunciadas' does not match catalog title 'El beso de la muerte: historias espeluznantes'.,MUERTES ANUNCIADAS,Poster clearly shows title 'MUERTES ANUNCIADAS' which does not match 'El beso de la muerte: historias espeluznantes'.,144,0.3333,tt8180438,/qwFwZhW93sgMQJMQOpHaq1auq6Z.jpg
737885,The Test,The Test,2021,Nightmare Hospital,"The poster clearly displays the title 'Nightmare Hospital', which does not match the catalog film 'The Test'.",NIGHTMARE HOSPITAL,"Poster clearly displays 'NIGHTMARE HOSPITAL' as the title, not 'The Test'.",62,0.0,tt6157414,/jmf80I2U92OVjnLIetUDzt1X7a4.jpg
744388,Verdict,Verdict,,VONNIS,"The poster clearly displays the title 'VONNIS', which does not match the catalog film title 'Verdict'.",VONNIS,"Poster clearly shows title 'VONNIS' by Walt Bladt, not 'Verdict'.",111,0.0,,/b6fsNVSNzdAcLbnuVFdX4GVuV9A.jpg
746729,The Darkest Sorrows,The Darkest Sorrows,2020,L'ENFER N'EST PAS LOIN,Poster title 'L'ENFER N'EST PAS LOIN' does not match catalog title 'The Darkest Sorrows'.,L'ENFER N'EST PAS LOIN,Poster clearly shows French title 'L'ENFER N'EST PAS LOIN' which does not match catalog entry 'The Darkest Sorrows'.,310,0.0,tt11944684,/qly1AEg9j9PvnvxBNs776i7g0cN.jpg
749611,Blood of the Undead: The Final Chapter,Blood of the Undead: The Final Chapter,1987,Sheets of Gore,"The poster clearly displays 'Sheets of Gore', which does not match the catalog film title 'Blood of the Undead: The Final Chapter'.",Sheets of Gore,Poster clearly displays title 'Sheets of Gore' which does not match catalog entry 'Blood of the Undead: The Final Chapter'.,42,0.0,tt0196387,/x0SspX4nSIetpI2dEBuHa3pwr2L.jpg
753443,Investigation of Indian Cabin Rd,Investigation of Indian Cabin Rd,2015,PARANORMAL INVESTIGATION,The poster title 'PARANORMAL INVESTIGATION' does not match the catalog film title 'Investigation of Indian Cabin Rd'.,PARANORMAL INVESTIGATION,Poster clearly shows title 'PARANORMAL INVESTIGATION' which does not match catalog film 'Investigation of Indian Cabin Rd'.,24,0.2,tt8203192,/aZq00khyL1uZ7aLXhUVwBIFGka2.jpg
757686,Tupilak,Tupilak,2001,The Yellow Sign,"The poster clearly displays 'The Yellow Sign' as the title, which does not match the catalog film 'Tupilak'.",The Yellow Sign Collection - The Weird Tale Volume 1,"Poster clearly shows 'The Yellow Sign Collection' as the main title, not 'Tupilak', and appears to be a horror anthology collection rather than a 2001 French film.",131,0.0,tt12422434,/kf0nFy4A8gbCluX7E99CkRdYmgZ.jpg
757709,M is for Mermaid,M is for Mermaid,,ABCs of Death,"The poster clearly displays the title 'ABCs of Death', which does not match the catalog film 'M is for Mermaid'.",ABCs of Death,"Poster clearly shows 'ABCs of Death' title, not 'M is for Mermaid' which is likely a segment from that anthology.",31,0.0,,/xJvx567uXfSpLsRfb3Yhtuueh5V.jpg
764813,The Project,The Project,2020,Cold Comfort,"The poster clearly displays the title 'Cold Comfort', which does not match the catalog film 'The Project'.",COLD COMFORT,Poster clearly shows title 'COLD COMFORT' which does not match catalog entry 'The Project'.,403,0.0,tt7853142,/n7iDnvaiVCb5rYTPko79B1DPTgn.jpg
769011,Something Always Happens,Something Always Happens,,Epouwante,"The poster clearly shows a different title, 'Epouwante', which does not match 'Something Always Happens'.",Epouvante,Poster clearly shows French title 'Epouvante' which does not match 'Something Always Happens'.,199,0.0,,
783208,The Ultimate Dilemma Part 2,The Ultimate Dilemma Part 2,2020,The Ultimate Dilemma Part 2,The poster is in Japanese and does not match the English title provided.,生贄のジレンマ (下),"Poster shows Japanese title and text, catalog entry is English language film from 2020, OCR indicates English text expected but poster is entirely Japanese.",84,0.0,,/k5WJaqZiYdtcomyZCWlVL2jtbcJ.jpg
790856,Love's a Killer: Rellik's Revenge,Love's a Killer: Rellik's Revenge,2017,,"The image shows a person wearing a t-shirt with text, not a horror movie poster.",,"This is a photograph of a person wearing a text-heavy t-shirt, not a horror movie poster for the 2017 film.",237,0.0,tt2342336,/nPRJTZRargnF6Pw4PEFILHZLQMd.jpg
801830,NEIN,NEIN,2021,La Blague,"The poster clearly shows the title 'La Blague', which does not match the catalog film 'NEIN'.",La Blague,"Poster clearly shows title 'La Blague' by Max Bucar Kassovitz, not 'NEIN'.",44,0.0,,/1w5g6GafIeqKsPIJFul5wiTkBMo.jpg
808340,Pig Face,Pig Face,2018,CRYPT TV MONSTERS WITHIN,"The poster clearly displays 'CRYPT TV MONSTERS WITHIN', which does not match the catalog film 'Pig Face'.",CRYPT TV MONSTERS WITHIN,"Poster clearly shows 'CRYPT TV MONSTERS WITHIN' branding, not 'Pig Face' from 2018.",27,0.0,tt9286376,
827144,The Corruption of Divine Providence,The Corruption of Divine Providence,2020,The Devil Within,"The poster clearly shows a different title, 'The Devil Within', which does not match the catalog film 'The Corruption of Divine Providence'.",The Devil Within,Poster clearly displays title 'THE DEVIL WITHIN' which does not match catalog entry 'The Corruption of Divine Providence'.,63,0.2,tt7308602,/u0pPj7tSpfISawJCCWrwpob5IWj.jpg
853155,Bad Blood,Bad Blood,2021,Boy #5,"The poster clearly shows the title 'Boy #5', which does not match the catalog film 'Bad Blood'.",BOY #5,"Poster clearly shows title 'BOY #5' with full cast and crew credits, not 'Bad Blood'.",452,0.0,tt12628280,/ndChza4196zQcg7rmwy6sU1ebAM.jpg
865502,All Catacombs Are Grey,Sve su katakombe sive,2013,,The image does not contain any title or branding related to 'All Catacombs Are Grey'.,,"This appears to be a pop art/comic book style collage artwork with a rocket and comic panels, not matching the title or expected imagery for a 2013 Croatian film about catacombs.",43,0.0,tt14521626,/cEvFyCq2YFThAhyIksD7WXu05pv.jpg
887751,Der Wolf und die 7 Geißlein,Der Wolf und die 7 Geißlein,2021,Der Wolf,The poster title 'Der Wolf' does not match the catalog title 'Der Wolf und die 7 Geißlein'.,DER WOLF,"Poster shows 'DER WOLF' as a horror film by David Brückner with adult cast, while catalog entry is 'Der Wolf und die 7 Geißlein' (The Wolf and the Seven Little Goats), a fairy tale adaptation.",519,0.3333,tt13763684,/AapMK1JYU6Z2xOREXU6TD0T7Qep.jpg
920958,Allan,Allan,2000,Alien,"The poster clearly displays the title 'Alien', which does not match the catalog film 'Allan'.",ALIEN,"Poster clearly shows 'ALIEN' title and iconic 1979 sci-fi horror imagery, not matching 2000 film 'Allan'.",222,0.0,tt9624720,
922848,Deadly Doula,Deadly Doula,,"Labor, Lies and Murder",The title on the poster does not match the catalog film entry.,LABOR LIES AND MURDER,Poster clearly displays title 'LABOR LIES AND MURDER' which does not match catalog entry 'Deadly Doula'.,23,0.0,,/saZ1NgVXiPveHFiMQmpTCFCoD1M.jpg
924618,Tardy Terror,Tardy Terror,2021,Horror High,"The poster clearly displays the title 'Horror High', which does not match the catalog film 'Tardy Terror'.",Horror High,"Poster clearly shows title 'Horror High' with tagline 'Miss the Bell Go Straight to Hell', which does not match catalog film 'Tardy Terror'.",45,0.0,tt13427442,/6XbXTw5aqXpllE3OrsdYzt6kvvo.jpg
927771,Guiltless,Guiltless,2022,GIRL GONE BAD,"The poster clearly shows a different title, 'GIRL GONE BAD', which does not match the catalog film 'Guiltless'.",GIRL GONE BAD,Poster clearly displays title 'GIRL GONE BAD' which does not match catalog entry 'Guiltless'.,46,0.0,tt12593058,/2GV86puP0Ny1SnhyLd9vnU8DSps.jpg
927848,Natural Occurrence,Natural Occurrence,2022,,"The image is clearly an anime poster, not a horror movie poster.",ネコぱら (Nekopara),"This is clearly an anime poster for a cute/slice-of-life series featuring catgirls, not a 2022 horror film called 'Natural Occurrence'.",34,0.0,,/1AMB06nA8W2o64z41WyVkAgpOgT.jpg
928529,Kappa no Sanpei: Ghost Operation,河童の三平 妖怪大作戦,1968,THE MOVIE VOL. 1,"Poster does not contain any reference to 'Kappa no Sanpei: Ghost Operation' or its original title, and the imagery does not match the expected horror genre.",東映特撮ヒーロー THE MOVIE VOL.1,"Poster is clearly for a Toei tokusatsu hero compilation DVD, not the 1968 Kappa no Sanpei film.",66,0.0,,/qPCbxlTzlr4nTQSucldwVGzDOmd.jpg
939191,WORLD'S WEIRDEST ANIMALS,WORLD'S WEIRDEST ANIMALS,2019,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'WORLD'S WEIRDEST ANIMALS'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'World's Weirdest Animals'.",25,0.0,,/ySRm4HUORM4cyX077AJZApdyScw.jpg
939195,STORM SAFETY TIPS,STORM SAFETY TIPS,2019,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'STORM SAFETY TIPS'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'STORM SAFETY TIPS'.",27,0.0,,/ms7PZYDWokCZ9aOuglcHloo9dHS.jpg
939202,THE DEEP BLUE,THE DEEP BLUE,2019,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'THE DEEP BLUE'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'THE DEEP BLUE'.",25,0.0,,/1M7UpPUxKYt4v8GxEogkv6lQr6d.jpg
939204,ARTIFICIAL COMPUTER LEARNING,ARTIFICIAL COMPUTER LEARNING,2019,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'ARTIFICIAL COMPUTER LEARNING'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'ARTIFICIAL COMPUTER LEARNING'.",25,0.0,,/suNP1k9MEb0IXMdzkYt921SJp9V.jpg
939205,OUR SOLAR SYSTEM,OUR SOLAR SYSTEM,2020,Gemini Home Entertainment,"The poster clearly shows 'Gemini Home Entertainment', which does not match the catalog film 'OUR SOLAR SYSTEM'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'Our Solar System' film title.",25,0.0,,/r16NZYVdszezUx7PMnbZaJgzqoH.jpg
939207,CAMP INFORMATION VIDEO,CAMP INFORMATION VIDEO,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'CAMP INFORMATION VIDEO'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'CAMP INFORMATION VIDEO'.",25,0.0,,/xErNXahidzaUV8ACFfBU9WtLeBq.jpg
939209,LETHAL OMEN COMMERCIAL,LETHAL OMEN COMMERCIAL,2020,Gemini Home Entertainment,"The poster is for 'Gemini Home Entertainment', not 'Lethal Omen Commercial'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'LETHAL OMEN COMMERCIAL'.",25,0.0,,/kwN67Wie6QKtjxychzY3EfyAshT.jpg
939211,WILDERNESS SURVIVAL GUIDE,WILDERNESS SURVIVAL GUIDE,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'WILDERNESS SURVIVAL GUIDE'.",Gemini Home Entertainment,"The poster clearly shows 'Gemini Home Entertainment' branding, not 'Wilderness Survival Guide'.",25,0.0,,/1QsrBfqQJUiRIRKJQc4g5cvVzqd.jpg
939212,SLEEP IMAGE VISUALIZER,SLEEP IMAGE VISUALIZER,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film title 'SLEEP IMAGE VISUALIZER'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'SLEEP IMAGE VISUALIZER'.",25,0.0,,/bW34dbr8zFAsM8PDdpgPXS9dHw6.jpg
939214,GAMES FOR KIDS,GAMES FOR KIDS,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'GAMES FOR KIDS'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'GAMES FOR KIDS'.",29,0.0,,/k5UHlmIBz1j7ylz8OZjOMco6vEg.jpg
939219,DEEP ROOT DISEASE,DEEP ROOT DISEASE,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'DEEP ROOT DISEASE'.",Gemini,"The poster clearly shows 'Gemini Home Entertainment' branding, which does not match the catalog film 'DEEP ROOT DISEASE'.",25,0.0,,/juTkMSyZuIdWdqJiQPCY43K3XvW.jpg
939224,MONTHLY PROGRESS REPORT,MONTHLY PROGRESS REPORT,2020,Gemini Home Entertainment,"The poster clearly shows 'Gemini Home Entertainment', which does not match the catalog film 'MONTHLY PROGRESS REPORT'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'MONTHLY PROGRESS REPORT'.",27,0.0,,/sHMhmzL5AqOib1JmhqyGukXki4u.jpg
939225,CHRISTMAS EVE PARTY,CHRISTMAS EVE PARTY,2020,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film 'CHRISTMAS EVE PARTY'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'Christmas Eve Party'.",25,0.0,,/sfceARqphLnDIhVK0YW8yYyqFbR.jpg
939226,HOME INVASION HELP,HOME INVASION HELP,2021,Gemini Home Entertainment,"The poster clearly shows 'Gemini Home Entertainment', which does not match the catalog film 'HOME INVASION HELP'.",Gemini Home Entertainment,"Poster clearly shows 'Gemini Home Entertainment' branding, not 'HOME INVASION HELP'.",29,0.3333,,/aElFqjrGvyRDKjZXPsuhRw9nfd6.jpg
939228,CRUSADER PROBE MISSION,CRUSADER PROBE MISSION,2021,Gemini,"The poster clearly shows the title 'Gemini', which does not match the catalog film title 'CRUSADER PROBE MISSION'.",Gemini,"Poster clearly shows 'Gemini Home Entertainment' branding with zodiac imagery, not related to 'CRUSADER PROBE MISSION'.",25,0.0,,/dFlrgl0zF5XnXoXdoIQ0qkl98ds.jpg
956056,,,,The Chieftains,"The image is of a music group, not a horror movie.",The Chieftains,"This is clearly a poster for The Chieftains, an Irish folk music group, not a horror movie.",20,0.0,,/xgcm023crvd1KVP0rIbGYlYa37N.jpg
956491,Facies,Facies,2022,El Semblante,"The poster clearly displays the title 'El Semblante', which does not match the catalog film 'Facies'.",EL SEMBLANTE,Poster clearly shows title 'EL SEMBLANTE' which does not match catalog entry 'Facies'.,204,0.0,tt15083118,/2BcYFWo7xw1WVoGAEvbR60jP1ux.jpg
964250,Sheng Goes to Taiwan,周成過台灣,1987,The Rebellious Husband,The poster clearly shows a different title and imagery unrelated to 'Sheng Goes to Taiwan'.,閻城過台灣,"The poster shows a horror/ghost film with supernatural imagery, while the visible Chinese title characters differ from the catalog entry's 周成過台灣.",85,0.0,tt0185678,/55Dk0wvloNQEfn9jYTmOBCHKHXA.jpg
964991,Trapped in the System,Trapped in the System,2022,,"The image shows a person in a kitchen setting, not related to a horror movie.",,"This appears to be a social media video or meme showing someone doing an art activity with ""Oh shi..."" text overlay, not a horror movie poster for 'Trapped in the System'.",21,0.0,,/g7W3zBk1LBW1KgHs2j07XJJ1tRi.jpg
971152,Shockumentary,Shockumentary,2015,Video Killers,"The poster clearly displays the title 'Video Killers', which does not match the catalog film 'Shockumentary'.",VIDEO KILLERS,Poster clearly displays title 'VIDEO KILLERS' with tagline 'THE LATE FEES ARE KILLER' which does not match catalog film 'Shockumentary' from 2015.,92,0.0,tt5057916,/2Oj16C4N7WWd58qeGs5NO49vIvx.jpg
978915,A Look Back,A Look Back,2018,local 58,"The image is a television station logo, not a movie poster.",local 58 WCLV-TV,"This is a community television station thank you screen, not a horror movie poster.",62,0.0,,/tAWzcRu5g223qFec8EwE2I9oTzP.jpg
1005122,The Golden Arm (Michigan),The Golden Arm (Michigan),2020,50 States of Fright,"The poster clearly shows '50 States of Fright', which is different from 'The Golden Arm (Michigan)'.",50 States of Fright,"Poster clearly shows '50 States of Fright' by Sam Raimi, not 'The Golden Arm (Michigan)'.",103,0.0,,/uQpdC4bVvvI6NHtWvjGH53S1t6r.jpg
1012007,Aspiralux,Aspiralux,2002,Folies Passageres 2,"The poster clearly shows a different title, 'Folies Passageres 2', which does not match the catalog film 'Aspiralux'.",FOLIES PASSAGÈRES 2 / TEMPORARY MADNESS 2,"Poster clearly shows 'Folies Passagères 2 / Temporary Madness 2' with Izabel Grondin, not 'Aspiralux' from 2002.",106,0.0,,/hfBwbxXahRgGe0NBDnlCg1v3QVP.jpg
